"('date',_'')","('close',_'005930.ks')","('high',_'005930.ks')","('low',_'005930.ks')","('open',_'005930.ks')","('volume',_'005930.ks')"
2000-12-21,2306.4765625,2349.189091435185,2185.457730516975,2221.0515046296296,76625000
2000-12-22,2235.288818359375,2349.188885536923,2228.1700641607786,2306.4763603453425,63760000
2000-12-25,2235.288818359375,2235.288818359375,2235.288818359375,2235.288818359375,0
2000-12-26,2249.526611328125,2306.4766521212423,2249.526611328125,2299.3578970221024,60430000
2000-12-27,2249.526611328125,2249.526611328125,2249.526611328125,2249.526611328125,0
2000-12-28,2249.526611328125,2249.526611328125,2249.526611328125,2249.526611328125,0
2000-12-29,2249.526611328125,2249.526611328125,2249.526611328125,2249.526611328125,0
2001-01-01,2249.526611328125,2249.526611328125,2249.526611328125,2249.526611328125,0
2001-01-02,2384.7822265625,2406.1384853078357,2235.288415345149,2249.5259211753732,39455000
2001-01-03,2399.0205078125,2434.6142838928045,2292.2391795715876,2299.3579347876484,37855000
2001-01-04,2690.88916015625,2754.9579496837796,2605.464107452877,2698.0079145481977,119910000
2001-01-05,2776.314208984375,2790.551717748397,2633.9391213441504,2676.6516476362176,78135000
2001-01-08,2762.076416015625,2783.4326769642,2690.888879520377,2719.3638941184763,42295000
2001-01-09,2733.601806640625,2747.8393160502114,2641.057995478312,2726.4830519358316,46280000
2001-01-10,2641.05859375,2712.2461569238544,2633.9398374326147,2690.889887971698,41235000
2001-01-11,2591.227783203125,2698.0091478955615,2591.227783203125,2698.0091478955615,31410000
2001-01-12,2733.601806640625,2769.1955801645913,2683.770523707072,2705.1267878214517,52900000
2001-01-15,2790.551025390625,2861.7385515485494,2733.601004464286,2747.8385096958705,51460000
2001-01-16,2947.1640625,2989.8765851449275,2740.720203049517,2819.0264945652175,52065000
2001-01-17,3004.114013671875,3018.351520845675,2890.213956281472,2890.213956281472,52570000
2001-01-18,3132.252197265625,3224.7960121848364,3018.3521173650565,3018.3521173650565,57685000
2001-01-19,3274.62744140625,3345.814994480299,3217.677398947011,3345.814994480299,54245000
2001-01-22,3239.0341796875,3274.6279618818685,3182.084128176511,3274.6279618818685,42250000
2001-01-23,3239.0341796875,3239.0341796875,3239.0341796875,3239.0341796875,0
2001-01-24,3239.0341796875,3239.0341796875,3239.0341796875,3239.0341796875,0
2001-01-25,3239.0341796875,3239.0341796875,3239.0341796875,3239.0341796875,0
